year,avg_yearly_income_us
2021,70784.0
2020 ,68010.28
2019,68702.75
2018,63179.26
2017 ,61135.67
2017,61371.81
2016,59039.06
2015,56515.68
2014,53657.4
2013 ,51938.97
2012,51016.64
2011,50053.77
2010,49275.75
2009,49777.11
2008,50302.8
2007,50233.04
2006,48201.17
2005,46326.08
2004,44333.93
2003,43318.0
2002,42409.07
2001,42228.12
2000,41990.27
1999,40696.17
1998,38884.84
1997,37004.94
1996,35492.09
1995,34076.2
1994,32263.91
1993,31241.02
1992,30635.99
1991,30126.05
1990,29942.91
1989,28905.9
1988,27225.01
1987,26061.22
