year,all,less_than_hs,hign_school,some_college,bachelor_degree,advanced_degree,women,men
1978,0.634,0.474,0.69,0.708,0.774,0.845,0.502,0.78
1979,0.637,0.474,0.694,0.711,0.775,0.845,0.508,0.781
1980,0.639,0.466,0.697,0.714,0.783,0.845,0.516,0.777
1981,0.64,0.458,0.697,0.717,0.788,0.845,0.52,0.773
1982,0.64,0.45,0.694,0.718,0.79,0.846,0.525,0.769
1983,0.642,0.443,0.691,0.721,0.793,0.845,0.53,0.766
1984,0.644,0.44,0.688,0.725,0.796,0.845,0.535,0.765
1985,0.647,0.438,0.689,0.728,0.799,0.844,0.542,0.764
1986,0.651,0.436,0.69,0.733,0.803,0.842,0.55,0.763
1987,0.655,0.438,0.692,0.738,0.803,0.842,0.557,0.763
1988,0.658,0.441,0.689,0.739,0.807,0.841,0.563,0.762
1989,0.663,0.445,0.69,0.742,0.808,0.841,0.571,0.764
1990,0.666,0.444,0.694,0.742,0.81,0.837,0.576,0.764
1991,0.663,0.439,0.689,0.739,0.809,0.833,0.574,0.761
1992,0.663,0.434,0.684,0.742,0.805,0.834,0.577,0.758
1993,0.664,0.429,0.677,0.745,0.806,0.833,0.579,0.756
1994,0.665,0.427,0.672,0.746,0.808,0.829,0.585,0.752
1995,0.668,0.431,0.672,0.746,0.808,0.827,0.59,0.752
1996,0.667,0.433,0.672,0.742,0.801,0.825,0.592,0.75
1997,0.671,0.441,0.674,0.745,0.801,0.823,0.597,0.751
1998,0.672,0.449,0.671,0.741,0.801,0.817,0.599,0.75
1999,0.671,0.45,0.667,0.738,0.797,0.814,0.6,0.748
2000,0.671,0.453,0.664,0.737,0.794,0.809,0.6,0.748
2001,0.67,0.456,0.66,0.735,0.789,0.801,0.599,0.746
2002,0.667,0.452,0.658,0.729,0.787,0.795,0.597,0.743
2003,0.664,0.447,0.654,0.725,0.783,0.789,0.596,0.738
2004,0.661,0.443,0.648,0.72,0.778,0.789,0.593,0.734
2005,0.66,0.442,0.646,0.718,0.777,0.789,0.592,0.733
2006,0.661,0.444,0.645,0.717,0.779,0.785,0.593,0.734
2007,0.662,0.445,0.643,0.715,0.78,0.785,0.594,0.734
2008,0.66,0.436,0.64,0.711,0.778,0.786,0.594,0.731
2009,0.658,0.428,0.636,0.708,0.777,0.78,0.594,0.725
2010,0.65,0.417,0.628,0.697,0.772,0.775,0.589,0.715
2011,0.643,0.41,0.618,0.689,0.766,0.773,0.583,0.707
2012,0.639,0.408,0.608,0.682,0.76,0.769,0.579,0.703
2013,0.635,0.402,0.602,0.676,0.757,0.763,0.575,0.7
2014,0.63,0.395,0.596,0.666,0.755,0.754,0.571,0.694
2015,0.628,0.399,0.59,0.663,0.749,0.748,0.568,0.692
2016,0.627,0.4,0.588,0.659,0.743,0.748,0.567,0.691
2017,0.628,0.401,0.592,0.656,0.739,0.748,0.569,0.692
2018,0.628,0.402,0.59,0.652,0.74,0.745,0.57,0.691
2019,0.63,0.402,0.593,0.649,0.738,0.745,0.573,0.691
2020,0.625,0.395,0.585,0.639,0.731,0.74,0.569,0.685
2021,0.615,0.392,0.569,0.628,0.723,0.73,0.56,0.675
2022,0.62,0.399,0.578,0.629,0.727,0.733,0.565,0.679
2023,0.623,0.402,0.582,0.627,0.73,0.735,0.568,0.68
