,Date,Year,Month txt,All,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Women,Men
0,23-Feb,2023,Feb,62.30%,40.30%,58.20%,62.70%,73.00%,73.50%,56.90%,68.00%
1,23-Jan,2023,Jan,62.30%,40.20%,58.20%,62.70%,73.00%,73.50%,56.80%,68.00%
2,22-Dec,2022,Dec,62.20%,40.10%,58.20%,62.70%,73.00%,73.50%,56.80%,68.00%
3,22-Nov,2022,Nov,62.20%,40.10%,58.10%,62.70%,72.90%,73.50%,56.80%,67.90%
4,22-Oct,2022,Oct,62.20%,40.00%,58.10%,62.70%,72.90%,73.50%,56.80%,67.90%
5,22-Sep,2022,Sep,62.20%,40.00%,58.10%,62.80%,72.90%,73.40%,56.70%,67.90%
6,22-Aug,2022,Aug,62.10%,40.00%,58.00%,62.80%,72.80%,73.30%,56.60%,67.90%
7,22-Jul,2022,Jul,62.10%,40.00%,57.90%,62.90%,72.70%,73.30%,56.60%,67.90%
8,22-Jun,2022,Jun,62.00%,40.10%,57.80%,62.90%,72.60%,73.30%,56.50%,67.90%
9,22-May,2022,May,62.00%,40.00%,57.70%,63.00%,72.60%,73.30%,56.40%,67.90%
10,22-Apr,2022,Apr,61.90%,39.80%,57.60%,63.00%,72.50%,73.20%,56.40%,67.80%
11,22-Mar,2022,Mar,61.90%,39.80%,57.50%,63.00%,72.40%,73.20%,56.30%,67.80%
12,22-Feb,2022,Feb,61.80%,39.70%,57.30%,63.00%,72.40%,73.10%,56.20%,67.70%
13,22-Jan,2022,Jan,61.70%,39.60%,57.20%,62.90%,72.40%,72.90%,56.20%,67.60%
14,21-Dec,2021,Dec,61.70%,39.60%,57.00%,62.90%,72.40%,72.90%,56.10%,67.60%
15,21-Nov,2021,Nov,61.60%,39.60%,57.00%,62.90%,72.30%,72.90%,56.00%,67.60%
16,21-Oct,2021,Oct,61.60%,39.60%,57.00%,62.80%,72.30%,73.00%,56.00%,67.50%
17,21-Sep,2021,Sep,61.60%,39.60%,57.00%,62.80%,72.30%,73.00%,56.00%,67.50%
18,21-Aug,2021,Aug,61.60%,39.50%,57.00%,62.80%,72.30%,73.00%,56.00%,67.50%
19,21-Jul,2021,Jul,61.60%,39.30%,56.90%,62.80%,72.30%,73.10%,56.00%,67.50%
20,21-Jun,2021,Jun,61.50%,39.10%,56.90%,62.80%,72.20%,73.10%,56.00%,67.50%
21,21-May,2021,May,61.50%,38.90%,56.80%,62.70%,72.20%,73.10%,56.00%,67.40%
22,21-Apr,2021,Apr,61.50%,38.80%,56.70%,62.70%,72.20%,73.10%,55.90%,67.40%
23,21-Mar,2021,Mar,61.30%,38.60%,56.60%,62.50%,72.10%,73.00%,55.80%,67.30%
24,21-Feb,2021,Feb,61.40%,38.70%,56.70%,62.60%,72.20%,73.10%,55.90%,67.40%
25,21-Jan,2021,Jan,61.60%,38.80%,57.00%,62.80%,72.30%,73.30%,56.00%,67.50%
26,20-Dec,2020,Dec,61.70%,38.80%,57.30%,63.00%,72.40%,73.40%,56.20%,67.70%
27,20-Nov,2020,Nov,61.90%,38.90%,57.50%,63.10%,72.50%,73.50%,56.40%,67.80%
28,20-Oct,2020,Oct,62.00%,38.90%,57.80%,63.30%,72.70%,73.60%,56.50%,68.00%
29,20-Sep,2020,Sep,62.20%,39.00%,57.90%,63.50%,72.80%,73.80%,56.60%,68.10%
30,20-Aug,2020,Aug,62.30%,39.10%,58.20%,63.60%,72.90%,73.90%,56.80%,68.20%
31,20-Jul,2020,Jul,62.40%,39.30%,58.40%,63.80%,73.00%,74.00%,56.90%,68.30%
32,20-Jun,2020,Jun,62.60%,39.50%,58.60%,64.00%,73.20%,74.10%,57.00%,68.50%
33,20-May,2020,May,62.70%,39.70%,58.90%,64.10%,73.30%,74.20%,57.10%,68.70%
34,20-Apr,2020,Apr,62.90%,39.90%,59.10%,64.40%,73.50%,74.30%,57.30%,68.90%
35,20-Mar,2020,Mar,63.10%,40.20%,59.50%,64.70%,73.70%,74.50%,57.50%,69.10%
36,20-Feb,2020,Feb,63.10%,40.20%,59.50%,64.70%,73.80%,74.60%,57.50%,69.20%
37,20-Jan,2020,Jan,63.10%,40.20%,59.50%,64.80%,73.80%,74.60%,57.50%,69.20%
38,19-Dec,2019,Dec,63.10%,40.10%,59.50%,64.80%,73.80%,74.60%,57.40%,69.20%
39,19-Nov,2019,Nov,63.10%,40.10%,59.50%,64.80%,73.70%,74.60%,57.40%,69.10%
