year,all,women_b_degree,men_b_degree,less_than_hs,high_school,some_college,bachelor_degree,advanced_degree,women,men
1989,9.0,5.0,4.0,18.0,10.0,7.0,5.0,3.0,10.0,9.0
1990,9.4,5.0,4.0,18.8,10.2,7.4,4.8,3.0,10.0,9.0
1991,11.1,5.8,5.2,21.6,11.9,8.8,5.5,3.8,11.4,10.9
1992,12.6,6.9,6.0,23.9,13.7,10.4,6.2,4.2,12.7,12.5
1993,12.7,7.0,6.0,24.5,13.9,10.5,6.7,4.0,13.0,12.2
1994,11.6,6.1,5.3,23.8,12.7,9.6,6.0,4.0,12.1,11.3
1995,10.3,6.0,5.0,22.2,11.2,8.4,5.2,4.0,11.0,10.0
1996,10.0,5.8,5.0,21.8,11.0,8.0,5.0,4.0,10.7,9.8
1997,9.5,5.0,4.1,20.7,10.3,7.6,4.6,3.9,10.0,9.0
1998,8.5,4.2,3.8,18.8,9.4,7.0,4.0,3.0,9.1,8.0
1999,8.0,4.0,3.2,17.5,8.8,6.0,4.0,3.0,8.2,7.3
2000,7.0,4.0,3.2,16.2,8.0,6.0,3.8,3.0,7.9,7.0
2001,7.3,4.1,3.4,16.8,8.3,6.1,3.8,3.0,7.9,7.3
2002,9.3,5.0,5.0,19.3,10.6,7.7,5.0,3.8,9.5,9.3
2003,10.0,5.7,5.8,20.4,11.2,8.8,5.8,4.0,10.0,10.0
2004,10.0,6.0,5.8,20.6,11.3,8.9,5.9,4.0,10.0,10.0
2005,9.3,5.2,5.0,19.8,10.8,8.0,5.0,4.0,9.4,9.2
2006,8.8,5.0,4.2,18.2,10.0,7.8,4.9,3.2,9.0,8.3
2007,8.0,5.0,4.0,17.8,10.0,7.0,4.2,3.0,8.1,8.0
2008,9.4,5.2,4.5,20.2,11.4,8.2,5.1,3.4,9.2,9.6
2009,14.0,7.9,7.8,28.9,17.3,12.8,7.8,5.4,13.1,14.9
2010,17.0,10.0,10.0,33.4,21.0,16.0,10.0,6.3,15.9,18.0
2011,16.8,10.0,9.2,32.8,20.8,16.0,9.8,6.0,16.0,17.1
2012,15.6,9.8,8.6,30.6,19.2,15.0,9.0,6.0,15.7,15.5
2013,14.6,9.0,8.0,29.1,18.0,14.0,8.7,6.0,14.8,14.3
2014,13.2,8.4,7.3,25.6,16.4,12.9,7.8,5.4,13.4,12.8
2015,11.4,7.4,6.3,22.5,14.6,11.2,6.8,4.9,11.6,11.2
2016,10.1,6.3,5.3,19.7,13.3,9.8,6.0,4.0,10.3,10.0
2017,9.3,6.0,5.1,18.5,12.2,8.8,5.7,4.0,9.4,9.1
2018,8.1,5.2,5.0,15.9,10.7,8.0,5.0,4.0,8.3,8.0
2019,7.7,5.0,5.0,15.0,10.0,7.3,5.0,4.0,7.8,7.3
2020,10.6,8.0,6.9,18.8,13.6,10.9,7.5,5.5,10.8,10.2
