,year,state,income
0,2021,avgerage,70784.0
1,2020,avgerage,68010.0
2,2019,avgerage,68703.0
3,2018,avgerage,63179.0
4,2017,avgerage,61136.0
5,2016,avgerage,59039.0
6,2015,avgerage,56516.0
7,2014,avgerage,53657.0
8,2013,avgerage,51939.0
9,2012,avgerage,51017.0
10,2011,avgerage,50054.0
11,2010,avgerage,49276.0
12,2009,avgerage,49777.0
13,2008,avgerage,50303.0
14,2007,avgerage,50233.0
15,2006,avgerage,48201.0
16,2005,avgerage,46326.0
17,2004,avgerage,44334.0
18,2003,avgerage,43318.0
19,2002,avgerage,42409.0
20,2001,avgerage,42228.0
21,2000,avgerage,41990.0
22,1999,avgerage,40696.0
23,1998,avgerage,38885.0
24,1997,avgerage,37005.0
25,1996,avgerage,35492.0
26,1995,avgerage,34076.0
27,1994,avgerage,32264.0
28,1993,avgerage,31241.0
29,1992,avgerage,30636.0
30,1991,avgerage,30126.0
31,1990,avgerage,29943.0
32,1989,avgerage,28906.0
33,1988,avgerage,27225.0
34,1987,avgerage,26061.0
35,2021,Alabama,56929.0
36,2020,Alabama,54689.0
37,2019,Alabama,56200.0
38,2018,Alabama,49936.0
39,2017,Alabama,50865.0
40,2016,Alabama,47221.0
41,2015,Alabama,44509.0
42,2014,Alabama,42278.0
43,2013,Alabama,41381.0
44,2012,Alabama,43464.0
45,2011,Alabama,42590.0
46,2010,Alabama,40933.0
47,2009,Alabama,39980.0
48,2008,Alabama,44476.0
49,2007,Alabama,42212.0
50,2006,Alabama,37952.0
51,2005,Alabama,37150.0
52,2004,Alabama,36629.0
53,2003,Alabama,37255.0
54,2002,Alabama,37603.0
55,2001,Alabama,35160.0
56,2000,Alabama,35424.0
57,1999,Alabama,36251.0
58,1998,Alabama,36266.0
59,1997,Alabama,31939.0
60,1996,Alabama,30302.0
61,1995,Alabama,25991.0
62,1994,Alabama,27196.0
63,1993,Alabama,25082.0
64,1992,Alabama,25808.0
65,1991,Alabama,24346.0
66,1990,Alabama,23357.0
67,1989,Alabama,21284.0
68,1988,Alabama,19948.0
69,1987,Alabama,19734.0
70,2021,Alaska,81133.0
71,2020,Alaska,74746.0
72,2019,Alaska,78394.0
73,2018,Alaska,68734.0
74,2017,Alaska,77987.0
75,2016,Alaska,75723.0
76,2015,Alaska,75112.0
77,2014,Alaska,67629.0
78,2013,Alaska,61137.0
79,2012,Alaska,63648.0
80,2011,Alaska,57431.0
81,2010,Alaska,57848.0
82,2009,Alaska,61604.0
83,2008,Alaska,63989.0
84,2007,Alaska,62993.0
85,2006,Alaska,56418.0
86,2005,Alaska,55891.0
87,2004,Alaska,55063.0
88,2003,Alaska,51837.0
89,2002,Alaska,52774.0
90,2001,Alaska,57363.0
91,2000,Alaska,52847.0
92,1999,Alaska,51396.0
93,1998,Alaska,50692.0
94,1997,Alaska,47994.0
95,1996,Alaska,52779.0
96,1995,Alaska,47954.0
97,1994,Alaska,45367.0
98,1993,Alaska,42931.0
99,1992,Alaska,41802.0
100,1991,Alaska,40612.0
101,1990,Alaska,39298.0
102,1989,Alaska,36006.0
103,1988,Alaska,33103.0
104,1987,Alaska,33233.0
105,2021,Arizona,70821.0
106,2020,Arizona,67088.0
107,2019,Arizona,70674.0
108,2018,Arizona,62283.0
109,2017,Arizona,59700.0
110,2016,Arizona,57100.0
111,2015,Arizona,52248.0
112,2014,Arizona,49254.0
113,2013,Arizona,50602.0
114,2012,Arizona,47044.0
115,2011,Arizona,48621.0
116,2010,Arizona,46896.0
117,2009,Arizona,45739.0
118,2008,Arizona,46914.0
119,2007,Arizona,47215.0
120,2006,Arizona,46657.0
121,2005,Arizona,45245.0
122,2004,Arizona,43846.0
123,2003,Arizona,41166.0
124,2002,Arizona,39734.0
125,2001,Arizona,42704.0
126,2000,Arizona,39783.0
127,1999,Arizona,36995.0
128,1998,Arizona,37090.0
129,1997,Arizona,32740.0
130,1996,Arizona,31637.0
131,1995,Arizona,30863.0
132,1994,Arizona,31293.0
133,1993,Arizona,30510.0
134,1992,Arizona,29358.0
135,1991,Arizona,30737.0
136,1990,Arizona,29224.0
137,1989,Arizona,28552.0
138,1988,Arizona,26435.0
139,1987,Arizona,26749.0
140,2021,Arkansas,50784.0
141,2020,Arkansas,50777.0
142,2019,Arkansas,54539.0
143,2018,Arkansas,49781.0
144,2017,Arkansas,49751.0
145,2016,Arkansas,45907.0
146,2015,Arkansas,42798.0
147,2014,Arkansas,44922.0
148,2013,Arkansas,39919.0
149,2012,Arkansas,39018.0
150,2011,Arkansas,41302.0
151,2010,Arkansas,38587.0
152,2009,Arkansas,36538.0
153,2008,Arkansas,39586.0
154,2007,Arkansas,40795.0
155,2006,Arkansas,37057.0
156,2005,Arkansas,36658.0
157,2004,Arkansas,34984.0
158,2003,Arkansas,32002.0
159,2002,Arkansas,32387.0
160,2001,Arkansas,33339.0
161,2000,Arkansas,29697.0
162,1999,Arkansas,29682.0
163,1998,Arkansas,27665.0
164,1997,Arkansas,26162.0
165,1996,Arkansas,27123.0
166,1995,Arkansas,25814.0
167,1994,Arkansas,25565.0
168,1993,Arkansas,23039.0
169,1992,Arkansas,23882.0
170,1991,Arkansas,23435.0
171,1990,Arkansas,22786.0
172,1989,Arkansas,21433.0
173,1988,Arkansas,20172.0
174,1987,Arkansas,18827.0
175,2021,California,81575.0
176,2020,California,77652.0
177,2019,California,78105.0
178,2018,California,70489.0
179,2017,California,70038.0
180,2016,California,66637.0
181,2015,California,63636.0
182,2014,California,60487.0
183,2013,California,57528.0
184,2012,California,57020.0
185,2011,California,53367.0
186,2010,California,54283.0
187,2009,California,56134.0
188,2008,California,57014.0
189,2007,California,55734.0
190,2006,California,55319.0
191,2005,California,51755.0
192,2004,California,49222.0
