year,inflation_percent
1987,3.66456321751691
1988,4.07774110744408
1989,4.82700303008949
1990,5.39795643990322
1991,4.23496396453853
1992,3.0288196781497
1993,2.95165696638554
1994,2.6074415921546
1995,2.80541968853655
1996,2.9312041999344
1997,2.33768993730741
1998,1.55227909874362
1999,2.18802719697358
2000,3.37685727149935
2001,2.82617111885402
2002,1.58603162650603
2003,2.27009497336113
2004,2.67723669309173
2005,3.39274684549547
2006,3.22594410070407
2007,2.85267248150136
2008,3.83910029665101
2009,-0.35554626629975
2010,1.64004344238989
2011,3.15684156862206
2012,2.06933726526059
2013,1.46483265562714
2014,1.62222297740821
2015,0.118627135552435
2016,1.26158320570537
2017,2.13011000365963
2018,2.44258329692818
2019,1.81221007526015
2020,1.233584396
2021,4.69785886363739
2022,8.003
