year,less_than_hs,hign_school,some_college,bachelor_degree,advanced_degree,less_than_hs_share,hign_school_share,some_college_share,bachelor_degree_share,Advanced degree Share
2020.0,17.02,22.7,25.44,41.65,53.74,0.07,0.25,0.27,0.26,0.15
2019.0,16.11,21.64,24.0,39.61,51.57,0.08,0.26,0.28,0.24,0.14
2018.0,15.94,21.5,23.7,38.87,51.03,0.08,0.26,0.28,0.24,0.14
2017.0,15.92,21.26,23.31,38.65,49.4,0.08,0.26,0.29,0.24,0.13
2016.0,15.45,21.0,23.35,38.73,49.64,0.09,0.26,0.29,0.23,0.13
2015.0,15.25,20.81,23.17,37.96,48.42,0.09,0.27,0.29,0.23,0.13
2014.0,14.66,20.34,22.48,36.47,47.27,0.09,0.27,0.3,0.23,0.12
2013.0,14.62,20.31,22.5,37.0,48.54,0.09,0.27,0.3,0.22,0.12
2012.0,14.8,20.5,22.56,36.76,48.47,0.09,0.27,0.3,0.22,0.12
2011.0,14.96,20.67,22.9,36.44,47.56,0.09,0.28,0.3,0.22,0.11
2010.0,15.04,21.06,23.56,37.42,48.8,0.1,0.28,0.3,0.22,0.11
2009.0,15.41,21.42,23.82,37.3,49.12,0.1,0.28,0.3,0.21,0.11
2008.0,15.08,20.93,23.52,37.04,47.55,0.11,0.29,0.29,0.21,0.1
2007.0,15.19,21.04,23.84,37.23,47.31,0.11,0.29,0.29,0.2,0.1
2006.0,14.9,21.17,23.69,36.99,47.23,0.12,0.3,0.29,0.2,0.1
2005.0,14.96,21.07,23.76,36.89,47.09,0.12,0.3,0.29,0.19,0.1
2004.0,15.13,21.33,24.11,36.78,47.48,0.12,0.3,0.29,0.19,0.1
2003.0,15.27,21.5,24.19,37.14,46.79,0.12,0.3,0.29,0.19,0.09
2002.0,15.18,21.39,24.25,37.26,47.36,0.12,0.31,0.29,0.19,0.09
2001.0,14.88,21.1,24.05,37.07,46.23,0.13,0.31,0.29,0.18,0.09
2000.0,14.67,20.8,23.68,36.44,45.99,0.13,0.31,0.29,0.18,0.09
1999.0,14.61,20.67,23.36,35.76,46.02,0.13,0.32,0.29,0.18,0.09
1998.0,14.57,20.39,23.02,34.97,44.49,0.13,0.32,0.29,0.18,0.08
1997.0,14.07,19.95,22.54,33.44,43.68,0.13,0.33,0.29,0.18,0.08
1996.0,13.95,19.62,22.11,32.5,43.35,0.13,0.33,0.29,0.17,0.08
1995.0,13.95,19.68,22.04,32.86,43.27,0.13,0.33,0.3,0.17,0.08
1994.0,14.33,19.88,22.26,32.72,43.46,0.13,0.33,0.29,0.17,0.08
1993.0,14.6,19.65,22.27,32.16,41.45,0.13,0.34,0.28,0.16,0.08
1992.0,14.87,19.65,22.26,32.16,40.94,0.14,0.35,0.28,0.16,0.08
1991.0,14.99,19.77,22.49,31.87,40.71,0.15,0.36,0.26,0.16,0.08
1990.0,15.05,19.74,22.58,32.21,39.95,0.16,0.36,0.26,0.16,0.07
1989.0,15.46,20.07,22.61,31.89,39.8,0.16,0.36,0.25,0.15,0.08
1988.0,15.79,20.66,23.03,33.41,41.12,0.16,0.36,0.25,0.15,0.07
