year,all,women_b_degree,men_b_degree,less_than_hs,high_school,some_college,bachelor_degree,advanced_degree,women,men
1987,6.7,3.0,3.0,13.2,6.7,5.5,3.0,2.0,6.7,6.7
1988,6.0,3.0,2.4,11.8,6.0,4.9,2.7,2.0,6.0,6.0
1989,5.1,3.0,2.2,11.0,5.2,4.0,2.9,2.0,5.2,5.0
1990,5.2,3.0,2.8,11.0,5.8,4.2,3.0,2.0,5.2,5.3
1991,6.4,3.0,3.1,13.0,6.6,5.2,3.0,2.0,6.1,6.6
1992,7.3,3.4,4.0,14.6,7.7,6.0,4.0,2.8,7.0,7.8
1993,7.3,3.8,4.0,14.8,7.8,6.0,3.8,3.0,7.0,7.7
1994,6.6,3.0,3.0,14.0,6.9,5.5,3.0,2.1,6.3,6.7
1995,6.0,3.0,3.0,13.0,6.0,5.0,3.0,2.0,6.0,6.0
1996,6.0,3.0,3.0,12.9,6.0,4.4,3.0,2.0,6.0,5.9
1997,5.0,2.7,2.3,12.0,5.8,4.0,2.4,2.0,5.0,5.0
1998,5.0,2.0,2.0,11.1,5.0,4.0,2.0,2.0,5.0,4.9
1999,4.2,2.0,2.0,10.1,5.0,3.4,2.0,2.0,4.7,4.0
2000,4.0,2.0,2.0,9.7,4.0,3.0,2.0,1.5,4.0,4.0
2001,4.2,2.3,2.2,10.0,4.8,3.2,2.3,1.7,4.2,4.2
2002,5.6,3.0,3.3,11.4,5.9,4.7,3.0,2.3,5.5,5.7
2003,6.0,3.0,4.0,12.0,6.6,5.0,3.4,3.0,6.0,6.0
2004,6.0,3.0,3.6,12.0,6.4,5.0,3.4,2.7,5.7,6.0
2005,5.2,3.0,3.0,11.5,6.0,4.8,3.0,2.0,5.0,5.3
2006,5.0,3.0,2.8,10.3,5.8,4.0,3.0,2.0,5.0,5.0
2007,5.0,2.6,2.0,10.0,5.0,4.0,2.1,2.0,4.9,5.0
2008,5.2,3.0,2.5,11.4,6.2,4.4,2.9,2.0,5.0,5.3
2009,7.8,4.2,4.5,15.9,9.4,7.1,4.4,3.1,7.0,8.4
2010,9.9,5.5,6.0,19.0,12.0,9.0,6.0,4.0,8.8,11.0
2011,9.2,5.0,5.7,18.3,11.4,9.0,5.3,3.5,9.0,9.9
2012,8.5,5.0,5.0,17.3,10.4,8.2,5.0,3.0,8.0,8.8
2013,7.9,4.7,4.4,15.9,9.7,7.3,4.6,3.0,7.6,8.0
2014,6.8,4.0,4.0,13.7,8.4,6.7,4.0,3.0,6.5,6.9
2015,5.7,3.6,3.2,11.8,7.1,5.6,3.4,2.3,5.7,5.8
2016,5.0,3.0,3.0,10.3,6.6,5.0,3.0,2.0,5.0,5.0
2017,4.8,3.0,3.0,9.7,6.0,4.2,3.0,2.0,4.7,4.9
2018,4.0,2.8,2.8,8.5,5.2,4.0,2.8,2.0,4.0,4.0
2019,4.0,2.3,3.0,8.0,5.0,4.0,3.0,2.0,4.0,4.0
2020,6.1,4.4,3.8,10.9,7.7,6.1,4.2,3.0,6.2,5.9
