year,less_than_hs,hign_school,some_college,bachelor_degree,advanced_degree,less_than_hs_share,hign_school_share,some_college_share,bachelor_degree_share,advanced_degree_share
2020,17.02,22.7,25.44,41.65,53.74,7.0,25.0,27.0,26.0,15.0
2019,16.11,21.64,24.0,39.61,51.57,8.0,26.0,28.0,24.0,14.0
2018,15.94,21.5,23.7,38.87,51.03,8.0,26.0,28.0,24.0,14.0
2017,15.92,21.26,23.31,38.65,49.4,8.0,26.0,29.0,24.0,13.0
2016,15.45,21.0,23.35,38.73,49.64,9.0,26.0,29.0,23.0,13.0
2015,15.25,20.81,23.17,37.96,48.42,9.0,27.0,29.0,23.0,13.0
2014,14.66,20.34,22.48,36.47,47.27,9.0,27.0,30.0,23.0,12.0
2013,14.62,20.31,22.5,37.0,48.54,9.0,27.0,30.0,22.0,12.0
2012,14.8,20.5,22.56,36.76,48.47,9.0,27.0,30.0,22.0,12.0
2011,14.96,20.67,22.9,36.44,47.56,9.0,28.0,30.0,22.0,11.0
2010,15.04,21.06,23.56,37.42,48.8,10.0,28.0,30.0,22.0,11.0
2009,15.41,21.42,23.82,37.3,49.12,10.0,28.0,30.0,21.0,11.0
2008,15.08,20.93,23.52,37.04,47.55,11.0,29.0,29.0,21.0,10.0
2007,15.19,21.04,23.84,37.23,47.31,11.0,29.0,29.0,20.0,10.0
2006,14.9,21.17,23.69,36.99,47.23,12.0,30.0,29.0,20.0,10.0
2005,14.96,21.07,23.76,36.89,47.09,12.0,30.0,29.0,19.0,10.0
2004,15.13,21.33,24.11,36.78,47.48,12.0,30.0,29.0,19.0,10.0
2003,15.27,21.5,24.19,37.14,46.79,12.0,30.0,29.0,19.0,9.0
2002,15.18,21.39,24.25,37.26,47.36,12.0,31.0,29.0,19.0,9.0
2001,14.88,21.1,24.05,37.07,46.23,13.0,31.0,29.0,18.0,9.0
2000,14.67,20.8,23.68,36.44,45.99,13.0,31.0,29.0,18.0,9.0
1999,14.61,20.67,23.36,35.76,46.02,13.0,32.0,29.0,18.0,9.0
1998,14.57,20.39,23.02,34.97,44.49,13.0,32.0,29.0,18.0,8.0
1997,14.07,19.95,22.54,33.44,43.68,13.0,33.0,29.0,18.0,8.0
1996,13.95,19.62,22.11,32.5,43.35,13.0,33.0,29.0,17.0,8.0
1995,13.95,19.68,22.04,32.86,43.27,13.0,33.0,30.0,17.0,8.0
1994,14.33,19.88,22.26,32.72,43.46,13.0,33.0,29.0,17.0,8.0
1993,14.6,19.65,22.27,32.16,41.45,13.0,34.0,28.0,16.0,8.0
1992,14.87,19.65,22.26,32.16,40.94,14.0,35.0,28.0,16.0,8.0
1991,14.99,19.77,22.49,31.87,40.71,15.0,36.0,26.0,16.0,8.0
1990,15.05,19.74,22.58,32.21,39.95,16.0,36.0,26.0,16.0,7.0
1989,15.46,20.07,22.61,31.89,39.8,16.0,36.0,25.0,15.0,8.0
1988,15.79,20.66,23.03,33.41,41.12,16.0,36.0,25.0,15.0,7.0
1987,15.76,20.6,23.17,33.19,40.55,17.0,37.0,25.0,15.0,7.0
