year,state,income,yearly_increase,yearly_inflation
1987,Nevada,26878,113.6,3.7
1987,Michigan,27702,113.6,3.7
1987,Rhode_Island,28292,113.6,3.7
1987,Washington,27319,113.6,3.7
1987,Alaska,33233,113.6,3.7
1987,Massachusetts,32241,113.6,3.7
1987,Nebraska,23268,113.6,3.7
1987,West_Virgina,17207,113.6,3.7
1987,Alabama,19734,113.6,3.7
1987,Florida,24489,113.6,3.7
1987,Illinois,27084,113.6,3.7
1987,Ohio,25773,113.6,3.7
1987,South_Carolina,25049,113.6,3.7
1987,District_of_Columbia,27455,113.6,3.7
1987,Indiana,22519,113.6,3.7
1987,North_Dakota,22576,113.6,3.7
1987,South_Dakota,21151,113.6,3.7
1987,Georgia,26714,113.6,3.7
1987,Oregon,25038,113.6,3.7
1987,Hawaii,35022,113.6,3.7
1987,Idaho,20755,113.6,3.7
1987,Wyoming,27590,113.6,3.7
1987,Delaware,29244,113.6,3.7
1987,Iowa,22190,113.6,3.7
1987,North_Carolina,22760,113.6,3.7
1987,Tennessee,21179,113.6,3.7
1987,Connecticut,32862,113.6,3.7
1987,Kansas,25583,113.6,3.7
1987,New_York,26384,113.6,3.7
1987,Texas,24721,113.6,3.7
1987,Colorado,26476,113.6,3.7
1987,Kentucky,20673,113.6,3.7
1987,New_Mexico,20758,113.6,3.7
1987,Pennsylvania,25424,113.6,3.7
1987,avgerage,26061,113.6,3.7
1987,Utah,26529,113.6,3.7
1987,Wisconsin,26369,113.6,3.7
1987,Mississippi,18513,113.6,3.7
1987,California,30146,113.6,3.7
1987,Louisiana,21349,113.6,3.7
1987,New_Jersey,34241,113.6,3.7
1987,Vermont,25415,113.6,3.7
1987,Arkansas,18827,113.6,3.7
1987,Minnesota,28082,113.6,3.7
1987,Maine,23600,113.6,3.7
1987,New_Hampsire,32338,113.6,3.7
1987,Missouri,23720,113.6,3.7
1987,Virgina,29996,113.6,3.7
1987,Arizona,26749,113.6,3.7
1987,Maryland,34970,113.6,3.7
1987,Oklahoma,21691,113.6,3.7
1987,Montana,20474,113.6,3.7
1988,Wyoming,26419,118.3,4.1
1988,Georgia,26566,118.3,4.1
1988,Pennsylvania,26742,118.3,4.1
1988,Oregon,27748,118.3,4.1
1988,Hawaii,33024,118.3,4.1
1988,avgerage,27225,118.3,4.1
1988,Wisconsin,29575,118.3,4.1
1988,Montana,22231,118.3,4.1
1988,Michigan,29472,118.3,4.1
1988,Alabama,19948,118.3,4.1
1988,West_Virgina,19353,118.3,4.1
1988,Nebraska,25159,118.3,4.1
1988,Massachusetts,33213,118.3,4.1
1988,Alaska,33103,118.3,4.1
1988,Washington,32327,118.3,4.1
1988,Missouri,23443,118.3,4.1
1988,Nevada,27983,118.3,4.1
1988,Maryland,36552,118.3,4.1
1988,Arizona,26435,118.3,4.1
1988,Virgina,32648,118.3,4.1
1988,New_Hampsire,34625,118.3,4.1
1988,Maine,26402,118.3,4.1
1988,Arkansas,20172,118.3,4.1
1988,Vermont,28988,118.3,4.1
1988,Minnesota,29087,118.3,4.1
1988,New_Jersey,36287,118.3,4.1
1988,Louisiana,20497,118.3,4.1
1988,California,30287,118.3,4.1
1988,Utah,26313,118.3,4.1
1988,New_Mexico,19296,118.3,4.1
1988,Kentucky,19907,118.3,4.1
1988,Colorado,26214,118.3,4.1
1988,Texas,24963,118.3,4.1
1988,New_York,28915,118.3,4.1
1988,Kansas,25566,118.3,4.1
1988,Connecticut,36213,118.3,4.1
1988,Tennessee,20856,118.3,4.1
1988,North_Carolina,24415,118.3,4.1
1988,Iowa,24305,118.3,4.1
1988,Delaware,30505,118.3,4.1
1988,South_Dakota,22294,118.3,4.1
1988,North_Dakota,24092,118.3,4.1
1988,Indiana,26293,118.3,4.1
1988,District_of_Columbia,26741,118.3,4.1
1988,South_Carolina,25533,118.3,4.1
1988,Ohio,27740,118.3,4.1
1988,Illinois,29524,118.3,4.1
1988,Florida,25406,118.3,4.1
1988,Rhode_Island,29842,118.3,4.1
1988,Mississippi,18166,118.3,4.1
1988,Oklahoma,23667,118.3,4.1
1988,Idaho,23450,118.3,4.1
1989,Montana,23692,124,4.8
1989,Mississippi,19917,124,4.8
