year,state,income,debt_at_grad,adjusted_for_inflation
1990,Maryland,38857,6760,14061
1990,Wyoming,29460,6760,14061
1990,Utah,30142,6760,14061
1990,Alabama,23357,6760,14061
1990,Arkansas,22786,6760,14061
1990,Idaho,25305,6760,14061
1990,Ohio,30013,6760,14061
1990,Mississippi,20178,6760,14061
1990,New_Jersey,38734,6760,14061
1990,Kansas,29917,6760,14061
1990,Rhode_Island,31968,6760,14061
1990,Missouri,27332,6760,14061
1990,Virgina,35073,6760,14061
1990,South_Dakota,24571,6760,14061
1990,New_Mexico,25039,6760,14061
1990,Iowa,27288,6760,14061
1990,Washington,32112,6760,14061
1990,Minnesota,31465,6760,14061
1990,North_Dakota,25264,6760,14061
1990,Florida,26685,6760,14061
1990,Illinois,32542,6760,14061
1990,North_Carolina,26329,6760,14061
1990,Pennsylvania,29005,6760,14061
1990,New_York,31591,6760,14061
1990,Alaska,39298,6760,14061
1990,Indiana,26928,6760,14061
1990,Delaware,30804,6760,14061
1990,avgerage,29943,6760,14061
1990,Wisconsin,30711,6760,14061
1990,Tennessee,22592,6760,14061
1990,Vermont,31098,6760,14061
1990,Michigan,29937,6760,14061
1990,California,33290,6760,14061
1990,Nebraska,27482,6760,14061
1990,Maine,27464,6760,14061
1990,South_Carolina,28735,6760,14061
1990,Georgia,27561,6760,14061
1990,Oregon,29281,6760,14061
1990,Connecticut,38870,6760,14061
1990,Nevada,32023,6760,14061
1990,Louisiana,22405,6760,14061
1990,West_Virgina,22137,6760,14061
1990,District_of_Columbia,27392,6760,14061
1990,Colorado,30733,6760,14061
1990,Hawaii,38921,6760,14061
1990,Oklahoma,24384,6760,14061
1990,Texas,28228,6760,14061
1990,New_Hampsire,40805,6760,14061
1990,Kentucky,24780,6760,14061
1990,Montana,23375,6760,14061
1990,Massachusetts,36247,6760,14061
1990,Arizona,29224,6760,14061
1995,Nevada,36084,12600,22302
1995,Connecticut,40243,12600,22302
1995,Tennessee,29015,12600,22302
1995,Colorado,40706,12600,22302
1995,Montana,27757,12600,22302
1995,California,37009,12600,22302
1995,Texas,32039,12600,22302
1995,Maryland,41041,12600,22302
1995,Minnesota,37933,12600,22302
1995,avgerage,34076,12600,22302
1995,Wisconsin,40955,12600,22302
1995,Nebraska,32929,12600,22302
1995,Maine,33858,12600,22302
1995,Wyoming,31529,12600,22302
1995,Louisiana,27949,12600,22302
1995,New_Hampsire,39171,12600,22302
1995,Kentucky,29810,12600,22302
1995,Michigan,36426,12600,22302
1995,Alabama,25991,12600,22302
1995,West_Virgina,24880,12600,22302
1995,New_Jersey,43924,12600,22302
1995,Kansas,30341,12600,22302
1995,New_Mexico,25991,12600,22302
1995,Washington,35568,12600,22302
1995,Iowa,35519,12600,22302
1995,New_York,33028,12600,22302
1995,Indiana,33385,12600,22302
1995,Alaska,47954,12600,22302
1995,Missouri,34825,12600,22302
1995,North_Carolina,31979,12600,22302
1995,North_Dakota,29089,12600,22302
1995,Illinois,38071,12600,22302
1995,Virgina,36222,12600,22302
1995,Ohio,34941,12600,22302
1995,Idaho,32676,12600,22302
1995,Oklahoma,26311,12600,22302
1995,Mississippi,26538,12600,22302
1995,Arizona,30863,12600,22302
1995,Hawaii,42851,12600,22302
1995,Oregon,36374,12600,22302
1995,Georgia,34099,12600,22302
1995,Vermont,33824,12600,22302
1995,Massachusetts,38574,12600,22302
1995,Pennsylvania,34524,12600,22302
1995,Florida,29745,12600,22302
1995,Rhode_Island,35359,12600,22302
1995,Arkansas,25814,12600,22302
1995,District_of_Columbia,30748,12600,22302
1995,South_Carolina,29071,12600,22302
1995,Delaware,34928,12600,22302
1995,Utah,36480,12600,22302
1995,South_Dakota,29578,12600,22302
1996,Idaho,34709,12750,21930
1996,Alabama,30302,12750,21930
1996,Oklahoma,27437,12750,21930
1996,Maryland,43993,12750,21930
1996,Texas,33072,12750,21930
1996,Arizona,31637,12750,21930
1996,Utah,37038,12750,21930
1996,New_Jersey,47468,12750,21930
1996,Kentucky,32413,12750,21930
1996,New_Hampsire,39407,12750,21930
1996,Louisiana,30262,12750,21930
1996,District_of_Columbia,31966,12750,21930
1996,Hawaii,41772,12750,21930
1996,Oregon,35492,12750,21930
1996,South_Carolina,34665,12750,21930
1996,Nevada,38540,12750,21930
1996,Maine,34696,12750,21930
1996,Montana,28684,12750,21930
1996,Wisconsin,40001,12750,21930
1996,Colorado,40950,12750,21930
1996,Vermont,32358,12750,21930
1996,California,38812,12750,21930
1996,Georgia,32496,12750,21930
1996,Pennsylvania,34899,12750,21930
1996,South_Dakota,29526,12750,21930
1996,avgerage,35492,12750,21930
1996,Nebraska,34014,12750,21930
1996,Indiana,35147,12750,21930
1996,Missouri,34265,12750,21930
1996,Alaska,52779,12750,21930
1996,Delaware,39309,12750,21930
1996,North_Carolina,35601,12750,21930
1996,Washington,36676,12750,21930
1996,Florida,30641,12750,21930
1996,Rhode_Island,36986,12750,21930
1996,New_York,35410,12750,21930
1996,Mississippi,26677,12750,21930
1996,North_Dakota,31470,12750,21930
1996,Tennessee,30790,12750,21930
1996,Iowa,33209,12750,21930
1996,Minnesota,40991,12750,21930
1996,Illinois,39554,12750,21930
1996,Wyoming,30953,12750,21930
1996,New_Mexico,25086,12750,21930
1996,Massachusetts,39494,12750,21930
1996,Virgina,39211,12750,21930
1996,Kansas,32585,12750,21930
1996,Ohio,34070,12750,21930
1996,Arkansas,27123,12750,21930
1996,Michigan,39225,12750,21930
1996,West_Virgina,25247,12750,21930
1996,Connecticut,42119,12750,21930
1997,North_Dakota,31661,13670,22966
1997,Mississippi,28499,13670,22966
1997,avgerage,37005,13670,22966
1997,Minnesota,42564,13670,22966
1997,Wisconsin,39595,13670,22966
1997,Alabama,31939,13670,22966
1997,West_Virgina,27488,13670,22966
1997,Alaska,47994,13670,22966
1997,Washington,44562,13670,22966
1997,Wyoming,33423,13670,22966
1997,Arizona,32740,13670,22966
1997,Virgina,42957,13670,22966
1997,Vermont,35053,13670,22966
1997,Arkansas,26162,13670,22966
1997,Utah,42775,13670,22966
1997,California,39694,13670,22966
1997,Texas,35075,13670,22966
1997,Colorado,43233,13670,22966
1997,Tennessee,30636,13670,22966
1997,Connecticut,43985,13670,22966
1997,South_Dakota,29694,13670,22966
1997,Delaware,43033,13670,22966
1997,South_Carolina,34262,13670,22966
1997,District_of_Columbia,31860,13670,22966
1997,Rhode_Island,34797,13670,22966
1997,Florida,32455,13670,22966
1997,Pennsylvania,37517,13670,22966
1997,Georgia,36663,13670,22966
1997,Oregon,37247,13670,22966
1997,Hawaii,40934,13670,22966
