Private,Private_CPI
32825.3,32825.30
32763.97,33161.19
31883.34,32861.04
30722.61,32439.87
29475.54,31784.46
27941.6,30511.76
26738.52,29235.02
25706.76,28553.26
24522.64,27641.37
23463.67,27000.43
22677.29,26909.14
22269.29,26868.50
22039.92,26492.95
21426.67,26749.75
20516.6,26337.78
19291.66,25564.17
18603.89,25488.02
17763.2,24984.33
16825.89,24205.34
16210.89,23689.32
15470.47,23250.63
14616.05,22704.88
13972.87,22185.15
13344.25,21517.08
12881.25,21247.08
12243.16,20790.88
11480.93,20049.02
10952.22,19615.46
10293.53,18987.64
9759.44,18544.37
9082.54,17984.40
8396.33,17523.95
7721.6,16892.22
7116.11,16211.70
