Date,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Less than HS Share,High school Share,Some college Share,Bachelor's degree Share,Advanced degree Share,Men Less than HS,Men High school,Men Some college,Men Bachelor's degree,Men Advanced degree,Men Less than HS Share,Men High school Share,Men Some college Share,Men Bachelor's degree Share,Men Advanced degree Share,Women Less than HS,Women High school,Women Some college,Women Bachelor's degree,Women Advanced degree,Women Less than HS Share,Women High school Share,Women Some college Share,Women Bachelor's degree Share,Women Advanced degree Share,White Less than HS,White High school,White Some college,White Bachelor's degree,White Advanced degree,White Less than HS Share,White High school Share,White Some college Share,White Bachelor's degree Share,White Advanced degree Share,Black Less than HS,Black High school,Black Some college,Black Bachelor's degree,Black Advanced degree,Black Less than HS Share,Black High school Share,Black Some college Share,Black Bachelor's degree Share,Black Advanced degree Share,Hispanic Less than HS,Hispanic High school,Hispanic Some college,Hispanic Bachelor's degree,Hispanic Advanced degree,Hispanic Less than HS Share,Hispanic High school Share,Hispanic Some college Share,Hispanic Bachelor's degree Share,Hispanic Advanced degree Share,White Men Less than HS,White Men High school,White Men Some college,White Men Bachelor's degree,White Men Advanced degree,White Men Less than HS Share,White Men High school Share,White Men Some college Share,White Men Bachelor's degree Share,White Men Advanced degree Share,Black Men Less than HS,Black Men High school,Black Men Some college,Black Men Bachelor's degree,Black Men Advanced degree,Black Men Less than HS Share,Black Men High school Share,Black Men Some college Share,Black Men Bachelor's degree Share,Black Men Advanced degree Share,Hispanic Men Less than HS,Hispanic Men High school,Hispanic Men Some college,Hispanic Men Bachelor's degree,Hispanic Men Advanced degree,Hispanic Men Less than HS Share,Hispanic Men High school Share,Hispanic Men Some college Share,Hispanic Men Bachelor's degree Share,Hispanic Men Advanced degree Share,White Women Less than HS,White Women High school,White Women Some college,White Women Bachelor's degree,White Women Advanced degree,White Women Less than HS Share,White Women High school Share,White Women Some college Share,White Women Bachelor's degree Share,White Women Advanced degree Share,Black Women Less than HS,Black Women High school,Black Women Some college,Black Women Bachelor's degree,Black Women Advanced degree,Black Women Less than HS Share,Black Women High school Share,Black Women Some college Share,Black Women Bachelor's degree Share,Black Women Advanced degree Share,Hispanic Women Less than HS,Hispanic Women High school,Hispanic Women Some college,Hispanic Women Bachelor's degree,Hispanic Women Advanced degree,Hispanic Women Less than HS Share,Hispanic Women High school Share,Hispanic Women Some college Share,Hispanic Women Bachelor's degree Share,Hispanic Women Advanced degree Share
2022,16.52,21.94,24.81,41.60,53.22,0.08,0.26,0.26,0.26,0.15,17.99,24.08,27.96,49.01,63.51,0.09,0.29,0.24,0.24,0.13,14.33,18.93,21.76,34.39,44.34,0.06,0.23,0.27,0.27,0.17,15.70,23.31,26.28,43.30,53.30,0.05,0.24,0.27,0.29,0.16,15.19,19.39,21.34,33.39,44.67,0.06,0.31,0.31,0.20,0.12,17.32,20.72,22.96,36.00,48.30,0.20,0.34,0.24,0.16,0.07,17.14,25.92,29.93,51.23,63.86,0.05,0.27,0.26,0.28,0.14,16.38,20.73,22.58,37.63,52.91,0.07,0.36,0.29,0.19,0.10,18.67,22.32,25.49,41.48,57.08,0.23,0.37,0.21,0.13,0.06,13.84,19.56,22.52,35.31,44.45,0.04,0.20,0.27,0.30,0.19,13.89,17.83,20.36,29.94,39.41,0.05,0.28,0.32,0.21,0.14,14.74,18.18,20.64,31.13,40.64,0.15,0.29,0.29,0.19,0.08
2021,16.74,22.28,24.92,41.32,53.45,0.08,0.25,0.27,0.26,0.15,18.34,24.36,27.96,47.83,63.52,0.09,0.29,0.25,0.24,0.13,14.36,19.36,21.97,35.08,44.80,0.06,0.22,0.28,0.27,0.17,16.20,23.60,26.29,43.06,53.62,0.04,0.23,0.27,0.29,0.16,14.55,19.66,21.26,32.62,43.37,0.06,0.30,0.31,0.21,0.12,17.60,21.03,23.34,35.26,48.60,0.20,0.32,0.25,0.15,0.07,18.13,26.03,29.79,50.06,64.04,0.05,0.27,0.27,0.28,0.15,15.38,20.86,22.63,36.95,49.01,0.06,0.35,0.30,0.19,0.10,18.98,22.70,25.58,39.61,55.60,0.24,0.35,0.22,0.13,0.05,13.77,20.08,22.73,36.11,44.82,0.04,0.20,0.28,0.30,0.18,13.73,18.30,20.18,29.35,40.07,0.05,0.27,0.32,0.22,0.14,14.97,18.34,21.14,31.25,42.47,0.16,0.28,0.29,0.18,0.08
2020,17.02,22.70,25.44,41.65,53.74,0.07,0.25,0.27,0.26,0.15,18.76,25.09,28.55,48.15,62.70,0.08,0.28,0.26,0.24,0.13,14.40,19.35,22.35,35.41,46.04,0.06,0.22,0.28,0.27,0.17,17.01,24.00,26.90,43.16,53.80,0.04,0.24,0.27,0.29,0.17,14.55,19.66,21.79,33.64,45.76,0.06,0.30,0.32,0.21,0.12,17.61,21.46,23.24,36.13,48.58,0.20,0.32,0.27,0.15,0.07,18.97,26.73,30.40,50.15,63.50,0.05,0.27,0.27,0.27,0.15,15.52,21.22,23.57,36.70,51.67,0.07,0.34,0.31,0.19,0.09,19.26,23.33,25.69,41.00,53.58,0.22,0.35,0.24,0.13,0.06,14.20,20.06,23.31,36.20,45.58,0.04,0.20,0.28,0.30,0.19,13.66,17.93,20.31,31.38,42.44,0.06,0.26,0.32,0.22,0.14,14.58,18.50,20.69,31.55,44.15,0.16,0.28,0.30,0.18,0.08
2019,16.11,21.64,24.00,39.61,51.57,0.08,0.26,0.28,0.24,0.14,17.55,23.99,26.99,45.74,59.93,0.09,0.29,0.26,0.23,0.13,13.96,18.48,21.09,33.80,44.22,0.07,0.23,0.29,0.26,0.15,15.89,22.94,25.47,41.06,51.81,0.05,0.24,0.28,0.27,0.16,14.19,18.73,20.44,31.83,42.73,0.06,0.31,0.33,0.20,0.10,16.71,20.47,22.01,34.66,46.69,0.22,0.32,0.26,0.14,0.06,17.66,25.58,28.90,47.76,60.84,0.05,0.28,0.27,0.26,0.14,15.07,20.22,22.02,33.73,46.87,0.07,0.34,0.32,0.19,0.08,17.93,22.33,24.35,39.56,52.24,0.25,0.35,0.24,0.12,0.05,13.44,19.22,21.99,34.47,43.83,0.04,0.21,0.29,0.29,0.17,13.30,17.18,19.17,30.31,40.42,0.06,0.28,0.34,0.21,0.12,14.50,17.71,19.69,30.18,42.30,0.18,0.29,0.30,0.16,0.07
2018,15.94,21.50,23.70,38.87,51.03,0.08,0.26,0.28,0.24,0.14,17.70,23.72,26.61,44.97,59.73,0.09,0.29,0.27,0.23,0.12,13.36,18.49,20.91,33.03,43.19,0.07,0.23,0.30,0.26,0.15,16.05,23.02,25.15,40.49,51.80,0.05,0.24,0.29,0.27,0.15,13.31,18.14,19.98,32.00,42.22,0.07,0.30,0.34,0.19,0.10,16.44,20.13,21.74,33.19,44.83,0.23,0.32,0.26,0.14,0.05,17.96,25.49,28.41,47.28,61.27,0.05,0.27,0.28,0.26,0.14,14.27,19.36,21.82,33.42,46.42,0.07,0.35,0.32,0.18,0.08,18.05,22.04,24.20,37.27,51.27,0.26,0.34,0.23,0.12,0.04,13.45,19.52,21.90,33.78,43.31,0.04,0.21,0.30,0.29,0.17,12.48,16.81,18.57,30.85,39.64,0.07,0.27,0.36,0.19,0.12,13.47,17.28,19.29,29.47,39.35,0.18,0.29,0.30,0.16,0.07
2017,15.92,21.26,23.31,38.65,49.40,0.08,0.26,0.29,0.24,0.13,17.63,23.47,25.91,44.50,56.77,0.10,0.29,0.27,0.22,0.12,13.39,18.31,20.83,33.01,42.75,0.07,0.23,0.30,0.25,0.14,15.96,22.71,24.65,40.07,50.03,0.05,0.25,0.29,0.27,0.15,13.93,17.94,19.80,31.49,40.68,0.07,0.31,0.34,0.18,0.10,16.34,19.83,21.59,33.07,43.92,0.24,0.31,0.26,0.13,0.05,17.82,25.14,27.61,46.44,57.64,0.05,0.28,0.28,0.26,0.13,15.00,19.46,21.09,34.41,44.62,0.07,0.35,0.33,0.17,0.08,17.91,21.68,23.59,36.62,50.58,0.28,0.34,0.23,0.12,0.04,13.46,19.34,21.72,33.76,43.22,0.04,0.21,0.30,0.28,0.16,12.99,16.33,18.76,29.19,38.26,0.07,0.28,0.35,0.19,0.11,13.36,17.02,19.60,29.69,38.43,0.19,0.29,0.30,0.16,0.07
2016,15.45,21.00,23.35,38.73,49.64,0.09,0.26,0.29,0.23,0.13,16.95,23.01,25.98,44.98,57.71,0.10,0.29,0.27,0.22,0.12,13.11,18.33,20.89,32.66,42.17,0.07,0.24,0.31,0.24,0.14,15.38,22.37,24.61,39.95,49.85,0.05,0.25,0.30,0.26,0.15,13.48,17.95,20.28,32.10,41.26,0.07,0.31,0.34,0.18,0.09,16.02,19.47,21.33,34.28,43.92,0.24,0.31,0.27,0.12,0.06,16.96,24.73,27.49,46.78,58.13,0.06,0.28,0.28,0.25,0.14,14.64,19.07,22.15,35.36,45.54,0.08,0.36,0.32,0.17,0.08,17.37,21.05,23.43,38.94,50.81,0.28,0.33,0.23,0.11,0.05,12.98,19.21,21.83,33.23,42.24,0.04,0.22,0.31,0.27,0.16,12.42,16.71,18.88,29.56,38.55,0.07,0.28,0.36,0.19,0.11,13.40,17.11,19.26,29.41,37.77,0.19,0.29,0.31,0.14,0.07
2015,15.25,20.81,23.17,37.96,48.42,0.09,0.27,0.29,0.23,0.13,16.63,22.93,25.99,43.47,56.32,0.10,0.29,0.27,0.22,0.12,13.09,18.05,20.54,32.54,41.16,0.07,0.24,0.31,0.24,0.14,15.34,22.12,24.52,39.19,49.00,0.05,0.25,0.30,0.26,0.14,13.64,17.62,19.59,32.06,41.13,0.07,0.32,0.35,0.18,0.09,15.46,19.31,21.00,33.16,42.02,0.26,0.31,0.26,0.12,0.05,17.16,24.56,27.64,45.39,57.37,0.06,0.28,0.29,0.25,0.13,14.55,18.93,21.08,34.19,47.54,0.08,0.36,0.32,0.17,0.07,16.52,20.92,23.32,36.63,48.49,0.30,0.32,0.23,0.11,0.04,12.68,18.90,21.49,32.88,41.41,0.04,0.22,0.32,0.27,0.16,12.79,16.21,18.50,30.42,37.37,0.07,0.28,0.37,0.19,0.10,13.42,16.99,18.66,29.71,36.37,0.21,0.29,0.30,0.14,0.06
2014,14.66,20.34,22.48,36.47,47.27,0.09,0.27,0.30,0.23,0.12,15.95,22.40,24.96,41.14,54.63,0.10,0.29,0.28,0.21,0.11,12.60,17.72,20.14,31.98,40.34,0.07,0.25,0.32,0.24,0.13,14.92,21.65,23.70,37.61,47.46,0.05,0.26,0.30,0.25,0.14,13.43,17.61,19.40,30.82,40.07,0.07,0.32,0.35,0.17,0.09,14.77,18.43,20.21,31.80,44.35,0.26,0.31,0.26,0.12,0.05,16.65,24.08,26.50,42.79,55.03,0.06,0.28,0.29,0.25,0.13,14.28,19.08,20.77,31.67,43.76,0.09,0.35,0.33,0.16,0.07,15.85,19.70,22.17,35.17,52.55,0.30,0.33,0.23,0.10,0.04,12.54,18.51,20.99,32.46,40.41,0.04,0.23,0.32,0.26,0.15,12.47,16.09,18.39,30.20,37.88,0.06,0.29,0.37,0.18,0.10,12.61,16.55,18.22,28.53,37.16,0.20,0.30,0.30,0.14,0.06
2013,14.62,20.31,22.50,37.00,48.54,0.09,0.27,0.30,0.22,0.12,15.86,22.28,25.07,42.34,56.35,0.11,0.29,0.28,0.21,0.11,12.62,17.84,20.12,31.79,41.03,0.07,0.25,0.32,0.24,0.13,14.76,21.54,23.69,38.17,49.14,0.05,0.26,0.31,0.25,0.13,13.40,17.66,19.38,31.11,41.60,0.07,0.31,0.35,0.17,0.09,14.83,18.39,20.21,32.14,44.03,0.27,0.31,0.26,0.11,0.05,16.37,23.84,26.66,43.94,57.40,0.06,0.28,0.29,0.25,0.13,14.39,18.70,20.78,33.18,46.74,0.08,0.35,0.34,0.16,0.07,15.80,19.86,21.76,36.30,51.37,0.32,0.33,0.22,0.10,0.04,12.47,18.62,20.86,32.33,41.24,0.04,0.24,0.33,0.26,0.14,12.41,16.60,18.32,29.57,38.40,0.07,0.29,0.37,0.18,0.10,12.80,16.23,18.70,28.20,36.92,0.20,0.30,0.31,0.14,0.05
