Date,"""Bottom 90% average annual wages""","""90-95th average annual wages""","""95th-99th average annual wages""","""90th-99th average annual wages""","""top 5% average annual wages""","""99th-99.9th average annual wages""","""Upper 0.1% average annual wages""","""99th-100th average annual wages"""
2021,"""$36","571.00""","""$129","724.00""","""$215","032.00""","""$167","639.00"""
2020,"""$36","660.00""","""$132","401.00""","""$215","771.00""","""$169","455.00"""
2019,"""$36","655.00""","""$129","259.00""","""$209","137.00""","""$164","760.00"""
2018,"""$35","941.00""","""$127","211.00""","""$204","983.00""","""$161","776.00"""
2017,"""$35","480.00""","""$125","950.00""","""$202","686.00""","""$160","055.00"""
2016,"""$35","107.00""","""$125","174.00""","""$201","158.00""","""$158","945.00"""
2015,"""$34","923.00""","""$124","807.00""","""$200","736.00""","""$158","553.00"""
2014,"""$33","818.00""","""$121","078.00""","""$194","247.00""","""$153","598.00"""
2013,"""$33","336.00""","""$119","395.00""","""$190","403.00""","""$150","954.00"""
2012,"""$33","274.00""","""$118","981.00""","""$189","500.00""","""$150","323.00"""
2011,"""$33","166.00""","""$118","583.00""","""$187","374.00""","""$149","157.00"""
2010,"""$33","421.00""","""$118","364.00""","""$186","355.00""","""$148","583.00"""
2009,"""$33","558.00""","""$117","696.00""","""$183","337.00""","""$146","869.00"""
2008,"""$33","608.00""","""$116","960.00""","""$183","964.00""","""$146","740.00"""
2007,"""$33","814.00""","""$117","084.00""","""$185","981.00""","""$147","705.00"""
2006,"""$33","563.00""","""$115","731.00""","""$182","195.00""","""$145","270.00"""
2005,"""$33","175.00""","""$113","632.00""","""$177","187.00""","""$141","878.00"""
2004,"""$33","300.00""","""$113","382.00""","""$175","035.00""","""$140","783.00"""
2003,"""$33","065.00""","""$111","934.00""","""$172","319.00""","""$138","772.00"""
2002,"""$32","925.00""","""$111","070.00""","""$170","210.00""","""$137","354.00"""
2001,"""$32","869.00""","""$110","352.00""","""$171","649.00""","""$137","595.00"""
2000,"""$32","770.00""","""$110","104.00""","""$172","730.00""","""$137","938.00"""
1999,"""$32","512.00""","""$108","183.00""","""$167","952.00""","""$134","747.00"""
1998,"""$31","791.00""","""$105","631.00""","""$162","451.00""","""$130","884.00"""
1997,"""$30","543.00""","""$101","091.00""","""$154","518.00""","""$124","837.00"""
1996,"""$29","820.00""","""$98","821.00""","""$148","845.00""","""$121","054.00"""
1995,"""$29","703.00""","""$98","242.00""","""$146","725.00""","""$119","790.00"""
1994,"""$29","380.00""","""$96","805.00""","""$143","237.00""","""$117","442.00"""
1993,"""$28","823.00""","""$94","352.00""","""$139","469.00""","""$114","404.00"""
1992,"""$29","028.00""","""$94","367.00""","""$137","466.00""","""$113","522.00"""
1991,"""$28","734.00""","""$92","078.00""","""$134","527.00""","""$110","944.00"""
1990,"""$29","073.00""","""$85","079.00""","""$130","427.00""","""$105","234.00"""
1989,"""$29","289.00""","""$86","520.00""","""$132","409.00""","""$106","915.00"""
1988,"""$29","101.00""","""$85","292.00""","""$130","754.00""","""$105","497.00"""
1987,"""$29","199.00""","""$85","208.00""","""$128","409.00""","""$104","408.00"""
1986,"""$29","201.00""","""$85","510.00""","""$126","500.00""","""$103","727.00"""
1985,"""$28","654.00""","""$83","289.00""","""$122","259.00""","""$100","609.00"""
1984,"""$28","495.00""","""$82","580.00""","""$120","272.00""","""$99","332.00"""
1983,"""$27","801.00""","""$80","949.00""","""$116","825.00""","""$96","894.00"""
1982,"""$27","554.00""","""$79","037.00""","""$114","204.00""","""$94","667.00"""
1981,"""$27","790.00""","""$78","069.00""","""$111","139.00""","""$92","767.00"""
1980,"""$27","758.00""","""$77","865.00""","""$109","949.00""","""$92","125.00"""
1979,"""$28","415.00""","""$79","140.00""","""$110","833.00""","""$93","226.00"""
1978,"""$28","087.00""","""$78","677.00""","""$112","915.00""","""$93","894.00"""
1977,"""$27","678.00""","""$77","197.00""","""$107","218.00""","""$90","539.00"""
1976,"""$27","735.00""","""$76","203.00""","""$105","936.00""","""$89","418.00"""
1975,"""$26","943.00""","""$73","544.00""","""$103","205.00""","""$86","727.00"""
1974,"""$27","590.00""","""$74","670.00""","""$103","023.00""","""$87","271.00"""
1973,"""$28","336.00""","""$77","192.00""","""$106","410.00""","""$90","178.00"""
1972,"""$28","225.00""","""$76","782.00""","""$105","844.00""","""$89","698.00"""
1971,"""$27","323.00""","""$73","014.00""","""$99","878.00""","""$84","953.00"""
1970,"""$27","177.00""","""$71","253.00""","""$101","057.00""","""$84","499.00"""
1969,"""$27","222.00""","""$71","171.00""","""$99","229.00""","""$83","642.00"""
1968,"""$26","730.00""","""$69","021.00""","""$95","490.00""","""$80","785.00"""
1967,"""$26","131.00""","""$67","380.00""","""$93","221.00""","""$78","865.00"""
1966,"""$25","608.00""","""$65","209.00""","""$89","502.00""","""$76","006.00"""
1965,"""$25","094.00""","""$62","839.00""","""$87","104.00""","""$73","624.00"""
1964,"""$24","841.00""","""$62","909.00""","""$86","345.00""","""$73","325.00"""
1963,"""$24","116.00""","""$60","903.00""","""$83","592.00""","""$70","987.00"""
1962,"""$23","717.00""","""$59","979.00""","""$82","324.00""","""$69","910.00"""
1961,"""$22","851.00""","""$57","302.00""","""$79","429.00""","""$67","136.00"""
1960,"""$22","824.00""","""$56","509.00""","""$77","701.00""","""$65","928.00"""
1959,"""$22","534.00""","""$55","640.00""","""$75","809.00""","""$64","604.00"""
1958,"""$21","519.00""","""$53","353.00""","""$74","028.00""","""$62","542.00"""
1957,"""$21","692.00""","""$53","635.00""","""$73","077.00""","""$62","276.00"""
1956,"""$21","733.00""","""$51","840.00""","""$70","812.00""","""$60","272.00"""
1955,"""$20","811.00""","""$48","994.00""","""$66","984.00""","""$56","990.00"""
1954,"""$19","899.00""","""$46","484.00""","""$64","833.00""","""$54","639.00"""
1953,"""$19","848.00""","""$46","535.00""","""$63","017.00""","""$53","860.00"""
1952,"""$18","623.00""","""$44","022.00""","""$60","186.00""","""$51","206.00"""
1951,"""$17","886.00""","""$42","957.00""","""$58","678.00""","""$49","944.00"""
